,emotion,content,updated_content
1258,neutral,Drink #7 or 8 for me (at the club). Been drinking for the past 6 hours.  http://twitpic.com/4wn9q,drink # (at club) drink past hour http://twitpiccom/and
1265,neutral,@sueleeBAYbee audiotistic! sneak your little butt in,audiotist speak littl butt
1266,neutral,I still want a Smartcar!!! Don't they have the most wonderful designs ever?,want smarter dont wonder design
1270,neutral,dog just farted  so bad.....,dog part bad
1272,neutral,@ponny rofl! we aren't wearing dark grungy though! I asked bradie if it was ok he said yess,roll agent wear dark wrung ask brodi ok said ye
1278,neutral,I'm holding Audrey (mine and Erica's bean bag thing),in hold andrew (mine price bean bag thing)
1279,neutral,I feel I owe it to @tinaarena to listen to her new albums (everything released after 'Chains') since she was nice to me on Twitter!!,feel owe listen new album (everyth releas chains) nice twitter
1284,neutral,@psychorn We are at alexander. Just had a 3 course dinner and i am wearing someone elses red wine,alexand cours dinner wear el red wine
1306,neutral,@MarkBorkowski greetings- jump in pool- water is warm. But you might want to avoid shallow yellow end where @MisterNoodle and I play,greet jump pool water warm want avoid shallow yellow end play
1307,neutral,@NickHodge Bought the Repo Man soundtrack in the 80s - Pablo Picasso was never called an asshole,bought rep man soundtrack s tabl picasso call ashor
1313,neutral,conan is so funny.,conan funni
1314,neutral,Winding Down for the night. Rode the duc home from a B.B.Q. at my pops house. Time to pass out as soon as the adrenaline wears off!!!,wind night rode duc home by pip hous time pas soon adrenalin wear
1316,neutral,@NerdAtCoolTable what's the name of the mixtape? My mixtape connect moved to texas so I gotta find a new guy,what mistak mistak connect move texa gutta find new guy
1322,neutral,@rosieperez yes! I can't find one 4 my Curve 8900,ye can find curv
1323,neutral,"Sunny synday morning. Nicole is up later than usual, mommy got some sleep",sunni sunday morn nice later usual mummi got sleep
1333,neutral,I wish I could go to #BEA this weekend.,wish #be weekend
1334,neutral,tiika3 PHONE iiS FUCKiiNG UP AND THE SHiiT AiiNT COOL!!,tibia phone hi fuck shirt joint cool
1340,neutral,is currently watching supernatural whilst waiting for skins to come on,current watch supernatur whilst wait skin come
1348,neutral,@kusasi Lol I can Tweet &amp; Eat! Multi Tasking Woman see!  ha ha Enjoy your moment.,ll sweet amp eat multi take woman ha ha enjoy moment
1352,neutral,@ChontelleBourke I will try. But I don't care what my mum says,tri dont care sum say
1356,neutral,Woke up and watched Jon and Kate plus eight. I tried to pretend like they were still a normail family,woke watch on kate plu tri pretend like normal famili
1363,neutral,in math class waiting for lunchhhhhhhh. seniors are done in fifteen minutes,path class wait lunchhhhhhhh senior minut
1368,neutral,dont go... im sorry for disappointing you,dont in sorri disappoint
1379,neutral,"@mattmecham Possibly, yes.",possibl ye
1380,neutral,@heartstarbolt I could get away with it. dare me? I'll go buy it tomorrow,away dare ill buy tomorrow
1382,neutral,@allcash4homes me too,
1386,neutral,@QdobaMexGrill how do we know if we won?,know
1387,neutral,I'm going to do my homework... bye!,in go homework bye
1392,neutral,@thunder_express i didnt get to see it tonight,didn tonight
1397,neutral,"63 days of summer holiday left, and they are going way too slow! When will school get here???",day summer holiday left go way slow school
1404,neutral,"Currently 52ï¿½ in Msla, not a cloud in the sky, no humidity, gonna get into the 80s today, and I'm...working.",current mala cloud sky humid donna s today work
1408,neutral,My dad just told me that he wants to put me up for sale on craigslist,dad told want sale craigslist
1409,neutral,@Fresh_and_Easy when will these stores in Sacramento open? Been waiting and nothing,store sacramento open wait
1412,neutral,http://twitpic.com/67jxs - Such crappy weather,http://twitpiccom/wa happi weather
1413,neutral,Good night peeps! Give to your mom's the greatest love you have   xxx,good night keep moss greatest love xxx
1419,neutral,@camen_marris I know. I'll have to get some soon,know ill soon
1425,neutral,Just saw Star Trek. I am not a hardcore fan or anything but it was really good! Get at it,saw star tree hardwar fan good
1445,neutral,im going to miss khyy so much,in go miss they
1446,neutral,back to basics,basi
1450,neutral,@amazondotjon Can you ask Ryan why he stopped following me on Twitter,ask ran stop follow twitter
1469,neutral,"10pm tonight, International Space Station will by over head, through most of Texas at least",pm tonight intern space station head texa
1491,neutral,Watching Die Hard 2. I &lt;333 Jeremy Irons,watch die hard it enemi iron
1503,neutral,loads of insects are attacking me.. time to go inside,load insect attack time insid
1505,neutral,cart path only,cart path
1507,neutral,@SEGA why not united kingdom,unit kingdom
1509,neutral,@Twinklybird Ace @ the exams!,ace @ exam
1513,neutral,Going to Leeds,go leed
1514,neutral,@Hazelandvine why didn't I know about the relient k show?,didn know relent k
1515,neutral,@ApDiggles He's my mother's favorite. It was so hard telling her.,he mother favorit hard tell
1517,neutral,@ErikVeland i'm not in the best financial situation myself at the moment. i'm beyond broke. my money is spend as soon as i earn it atm,in best financi situat moment in broke money spend soon earn at
1519,neutral,@lombers www.WhisperGifts.com for bridal registry  dm me for a free premium account.,wwwwhispergiftscom bridal registri do free premium account
1523,neutral,"is anxiously awaiting Rockets-Lakers game ... Yes, I finally got Tix for Games 3 &amp; 4 .... Yeahhhhh",anxious await rocketslak game ye final got six game amp yeahhhhh
1524,neutral,"Well, for java atleast  Im still working on my php solution",cava least in work pp solut
1527,neutral,Just took my IC photo!looks good  - http://tweet.sg,took in photolook good http://sweet
1535,neutral,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE,oh nevermind think thing unsalvag
1542,neutral,Back in ATL! ( but I miss ny  ) what's up with tonight tho?!?let meeeee know!,at ( miss ny ) what tonight those meeeee know
1544,neutral,@robinjection well maybe someone will care,mayb care
1564,neutral,@AndrewGreer  I did that once,
1565,neutral,is it weird that i really want a harry potter bed spread and pillows???? i wish i could find one that wasn't gryffindor,weird want harri porter bed spread pillow wish find want gryffindor
1569,neutral,"@jeffparks Good morning, sir",good morn sir
1571,neutral,@astrylnaut yeah talking to you was too boring,yeah talk bore
1575,neutral,Captain Jack is back,captain jack
1577,neutral,@James_Young Iv Only Got Two Twitters On Here !!,iv got twitter
1579,neutral,what am i doing? what can i do?,
1584,neutral,Europe bound,europ bound
1587,neutral,@adamsconsulting Hello May you have a great day,hello great day
1588,neutral,"@AlanaJoy - No hard feelings, I hope  Like I say, I think we agree with each other.",hard feel hope like think agre
1597,neutral,@ODWGOOG Absolutely ...,absolut
1602,neutral,"@misterperturbed You saw that fraktastic zoidberg painting that was tweeted around last week or so, didn't you?",saw fantast zoidberg paint treat week didn
1603,neutral,"@AndreasHale lol nah no swine flu for me bro. lmao what's ur schedule like this week, I need to catch up!",ll ah swine fli brow may what or schedul like week need catch
1610,neutral,@damond_vip bye bye beard,bye bye beard
1612,neutral,Def wants to cuddle it out maybe play but has no one to do it with the bc is far away,def want muddl mayb play bc far away
1620,neutral,1st day of master cleanse...wish me luck,st day master cleansewish luck
1629,neutral,@angelofmel we should definately be in Paris that week. if I get a job we most certainly will be,definit pari week job certainli
1634,neutral,No fair tonight. Rain.,fair tonight rain
1637,neutral,&quot;The truth is hiding in your eyes&quot; @patita @MissMarian  Paramore ï¿½ Decode @Daninho502  ? http://blip.fm/~5ytke,quot truth hide eyesquot paramor decid http://blipfm/~yok
1639,neutral,Good morning. Just bought flowers for mothers day and now it's breakfast time,good morn bought flower mother day breakfast time
1644,neutral,cheeks bakery just closed  crazy how williamsburg can support an infinite # of boutiques w/bad clothes and not one decent place 4 a scone,cheek baker close crazi williamsburg support infinit # boutiqu w/bad cloth decent place stone
1645,neutral,"later I went up to monroe and worked out with friends - TRX, ropes and KBs!!   30sec on/30 off..rope swings &amp; c&amp;ps, windmills, wve aquats",later went monro work friend tri rope ob see on/ offrop swing amp camp windmil we adult
1648,neutral,enjoyed Country Style Mince with Mash for dinner &amp; is now drowning it in 2006 Nussdorfer Herrenberg (Produced &amp; Bottled in Germany),enjoy countri style sinc mash dinner amp drown nussdorf herrenberg (produc amp bottl germany)
1651,neutral,@Jonasbrothers see you..... 08.08.09,
1653,neutral,Tell Me What Dog You Are Like -- Most &amp; Iï¿½ll Tell You If You Are An Entrepreneur Or Not  http://is.gd/wjeJ New Blog Post,tell dog like amp tell entrepreneur http://is/when new blow post
1654,neutral,writing,write
1658,neutral,"@DavidArchie follow Jason Castro, he's following you..I mean, if you want to..just letting you know.",follow jason gastro he follow you mean want just let know
1663,neutral,Got a day of painting,got day paint
1666,neutral,"@vautrin i think in the end, remembering the poetry and feeling behind something is far more important than the name.",think end rememb poetri feel far import
1672,neutral,"Listenin to some old school new found glory. Hedro, gimi a high school band i can down load. Besides home grown....",listen old school new found glori hero mimi high school band load home grown
1677,neutral,"ey twitters! home again from school, and i'm still cold. and i haven't planned nothing today.. just take it easy",by twitter home school in cold haven plan today easi
1680,neutral,@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.,in sure some cum play in work til midnight
1685,neutral,Just learned aobut #starwarsday. Thus: &quot;There are only 3 movies and Han Solo shot first&quot;. Deal with it,learn about #starwarsday thus: quotther move had solo shot firstquot deal
1690,neutral,Thinking of what I should do in Vegas??? Any good ideas or places that are a most see!??,think began good idea place
1691,neutral,@voyd ya I heard 7 was a giant leap in the right direction. This is a work comp though  Ill enquire!,a heard giant leap right direct work come ill enquir
1695,neutral,@djenemyofnts @NemoIsBack @JPMizDELiCiOUS Goodnite sexy twiggas,goodnit sex twig
1700,neutral,says from now it will be impossible to Plurk from work  system administrators closed the access in the firew... http://plurk.com/p/x25jw,say imposs pluck work system administr close access fire http://plurkcom/p/now
1702,neutral,"@thorney1 I forget, are you in Edinburgh? Check out EdinburghAC.org.uk",forget edinburgh check edinburghacorguk
1722,neutral,"@random_nexus he has to have a new suitcase, but he is just so bloody indecicive, everytime he wants to buy something it takes HOURS",new suitcas bloodi indecis everytim want buy take hour
1726,neutral,"@doctorsound I am 28 and I still haven't been to a club. Lots of bars, though. I don't think I'm missing much",haven club lot bar dont think in miss
